num_id,id,Duplicate,Av_Diameter_mm,Height_cm,Leaf_Area_cm2,Av_SLA _mg/cm2,Jmax25,Rdlight25,Resistwp25,Resistch25,gamma*25,phifactor,thetafactor,betaPSII,Flu.Anet.SumSqure,Flu.Electron.SumS,ALightcurveNo,PARatZeroAnet,der_atPAR,Asat_ALight,ALightIntercept,der_atIntercept,der_atPARend,PhiPSIIsat_ALight,PhiPSIILightIntercep,der_atIntercept,der_atPhiPSIIend
64,besc-273.csv,Unique,11.35,257,33.36,3.441558442,21.520818,0.899156,9.021932,1.033223,0,1.032203,0.832218,0.288963,0.51793,0,1,18.9768,0.04042,3.335171,-0.860408,0.050627,0,0.262631,4.432654,-1.999702,0
65,Besc-275.csv,Unique,9.865,182.5,127.39,4.675324675,111.430327,3.285772,0.841024,0,2.098195,1.048994,0.792535,0.381992,0.438125,0.835287,1,68.360088,0.046954,14.564613,-3.549695,0.057147,0.001054,-0.069727,0.745687,-0.000576,-0.000247
66,besc-276.csv,Unique,15.365,290.5,53.13,7.857142857,76.272819,2.11121,1.498196,0,0.51376,1.006049,0.938544,0.333437,1.122586,11.277821,1,45.432109,0.051235,13.231386,-2.411615,0.054555,0.000175,-0.445874,0.76922,-0.000605,-0.000333
67,besc-279.csv,Unique,13.16,252.5,41.98,8.982683983,27.042232,0,0,0,0,1.040381,0.956353,0.197144,3.749754,0.109813,1,7.563923,0.052238,7.811898,-0.404856,0.054831,0.000014,0.433873,4.06999,-1.321724,0
68,besc-28.csv,Unique,9.6,225,53.54,3.744588745,27.446777,0.692343,4.545215,0,0.012075,0.87135,0.780379,0.327156,0.357794,0.083711,1,16.875911,0.0424,5.84308,-0.757382,0.047435,0.000005,0.268339,9.253211,-6.103344,0
69,Besc-286.csv,Unique,9.23,155.5,103.01,2.272727273,36.137818,0,2.775913,0,0.542024,0.828238,0.906217,0.290441,0.651402,1.556917,1,1.088479,0.042471,8.74814,-0.046346,0.042686,0.000105,0.071589,0.650538,-0.000998,-0.000126
70,besc-291.csv,Unique,13.1,244,51.4,6.63961039,111.097591,2.374769,1.308308,0,3.751954,1.055626,0.820465,0.500548,0.669396,0.066329,1,41.483344,0.054982,10.577026,-2.52723,0.067209,0.000106,0.474582,9.324673,-5.131535,0
71,besc-294.csv,Unique,12.675,294.5,51.54,8.787878788,159.082447,1.87226,1.393153,0,0.383929,1.067552,0.323673,0.344707,2.29086,0.000599,1,36.109802,0.061965,10.105976,-2.487258,0.076219,0.000038,0.459317,4.528679,-1.65763,0
72,besc-297.csv,Unique,7.715,144,50.07,2.207792208,16.856759,1.101078,11.674497,0,0.00068,0.762627,0.919093,0.358679,0.373836,0.001656,1,33.815827,0.030903,2.397484,-1.061033,0.031613,0,0.195335,8.241151,-5.408914,0
73,besc-30.csv,Unique,14.745,246,53.38,4.707792208,75.188279,2.581029,0.849895,0,2.998718,1.085562,0.894193,0.361427,0.578869,0.336438,1,61.966436,0.040345,6.772062,-2.997462,0.057293,0.000038,-0.17092,0.785254,-0.000735,-0.000292
